Title,Rating,Review,Date
"4.0 out of 5 starsGreat camera and OS, but heating issue",4.0,I'm finding some issues with the operating system like the device sudden switches off on its own and gets heated while using the camera or on normal outfoor use in mumbai. I'm not sure if I should replace this device for this reason.Camera features are good. I'm satisfied with the photos and camera. My previous phone was Samsung m31 and I didn't find some Quantum leap in my user experience. Camera sometimes stops while recording 4k at 60 fps due to heating. Can be used for making videos indoors but heating becomes an issue while shooting outdoors. Camera stabilisation is exceptional. All in all I think it's worth the price and I don't regret not buying an iphone at all.,Reviewed in India on 19 February 2023
4.0 out of 5 starsGoogle Pixel 7 5G,4.0,"I bought Pixel 7 5G on Jan 2023 and following are some points I personally want google to look after or anyone can consider while buying it. My comparison is based on Samsung S22 FE or S21 FE series..1- Worst fingerprint reader ever (fails 9 out of 10 times, google has to look seriously about this feature)2- Out door photos are as good as S22 or S21 but indoor photos or low light photos are darker than S series.3- Absence of physical 2 sim slots though it provides e-sim option, however new to e-sim person will struggle for initial setup for 2nd sim.You can find good qualities in any comment.",Reviewed in India on 29 January 2023
"4.0 out of 5 starsCamera is awesome, Biometric is horrible",4.0,"The camera quality is far better than any other phone in this range. But most importantly, biometric is horrible, it never detects finger prints properly.""back"" option and ""running app"" options are troublesome to find.Those who want to use only for camera, must go for it.also its works better if you have google one, otherwise you have to buy google one for storing your photos/ videos etc.",Reviewed in India on 2 October 2023
4.0 out of 5 starsNice mobile,4.0,Working fine..from last 11 months..no issues till now,Reviewed in India on 2 June 2024
4.0 out of 5 starsThe Smartest Smartphone,4.0,"The device is a complete package, no corners cut. Wherever the phone lacks in hardware, like the camera specifications or the battery size, etc. it covers up with the software. Though buggy, the pixel with Anroid 13 is the smartest device out there, with a vast array of things to help with device productivity, lifestyle and more. Exceptional camera performance, better than the competition.",Reviewed in India on 1 February 2023
3.0 out of 5 starsGood but service centre is a problem and No Insurance,3.0,"No service centers. New phone, the screen was broken and had spent about 17K to replace the display. No insurance to claim. Had to spend it from my pocket.Paper led, so screen will break if fallen from the height of 50 cm even if the glass is solid, the paper display is very weak.Google pixel - have to figure out ways to sort it.Other wise phone is super good to use.",Reviewed in India on 19 February 2023
4.0 out of 5 stars5G network not supported,4.0,"phone specification shows this phone is compatible with 5G network, but when you switch networks from 4G to 5G error message shows that this phone is not compatible with 5G. Please let me know if only I am facing this issue or all users.",Reviewed in India on 5 July 2023
4.0 out of 5 starsPhone is really good. But the most annoying thing is the fingerprint sensor.,4.0,The fingerprint sensor doesn't work at all...I have registered the same finger for 4 times but still it doesn't work. Rest almost things are good the camera and cpu performance is good. The AI based features are really amazing 😍. We use to get face unlock so if fingerprint unlock doesn't matter for you then you can buy this phone,Reviewed in India on 2 January 2023
3.0 out of 5 starsDon't feel much difference between 4A and 7 to be honest,3.0,"The UI is the same, battery backup is a little disappointment. Camera is great. You can do decent amount of gaming with this device and not worry about heating issues so go for it.I am just waiting for the Android 14 update now",Reviewed in India on 13 August 2023
4.0 out of 5 starsGood image/video quality,4.0,"One of best budget phones with execellent camera.Pros : camera, size, display and speedCons : audio quality, width and battery life",Reviewed in India on 27 August 2023
4.0 out of 5 starsOverall good,4.0,Phone is best when it’s comes to camera and day to day tasks only -be I found after a week of use is fingerprint sensor it’s so bad u better of using passcode or face unlock.,Reviewed in India on 20 December 2022
4.0 out of 5 starsFinger print reader rarely works,4.0,"At the time of order, Amazon site showed the country of origin / manufacturing as USA. But received Google Pixel 7 box mentions China. Box was damaged but the product was intact, thank God.",Reviewed in India on 4 January 2023
3.0 out of 5 starsOverheating,3.0,"The phone is getting overheated. I don't know if its common in google phone or I have received the defected piece. I am disappointed, don't know if will return it.. Will see a couple of days more.",Reviewed in India on 15 May 2023
4.0 out of 5 starsGoogle is Google,4.0,This a Best Phone. After purchasing we are happy. Google Phone supports all apps of Google. So this ever green Product.Delivery is also in perfect time. Packing is very Good.,Reviewed in India on 18 January 2023
3.0 out of 5 starsNeeds improvement,3.0,First of all the warranty claim is from Japan. Not sure if that's serviceable in India. The phone heats a lot and could have been sleeker.,Reviewed in India on 16 August 2023
2.0 out of 5 starsBuggiest Phone Ever !!!!!!!!,2.0,Pros :Great cameraStock Android experienceNow playing featureMagic eraserCons :Fingerprint doesn't work most of the time (redmi has better fingerprint scanner)Jio doesn't work at timesLots of bugsNo customisationHears alotBattery drains easilyDisplay is ok not greatIf these bugs are not cleared in further updates I have to throw away this phone 🥴 pathetic interface and hell a lot of glitches.,Reviewed in India on 3 June 2023
4.0 out of 5 starsGood overall,4.0,"Fingerprint not working at all, when contacted Google they said no warranty as this piece was not meant to be sold in india",Reviewed in India on 22 March 2023
5.0 out of 5 starsOverall Review,5.0,It's the finest Android phone with the cleanest UI I have ever used. The photos from the device are even better and clearer than apple's and the updates are smooth and recurring enough on regular intervals . I am highly satisfied with the purchase.,Reviewed in India on 23 October 2023
4.0 out of 5 starsGot a Japanese unit,4.0,"Phone's default language was japanese, box has things written in japanese, came with a sim inside it and also had an app of that carrier pre installed. Super weird.",Reviewed in India on 29 March 2023
1.0 out of 5 starsGoogle does not give warranty on this phone,1.0,"I have had an issue with my phone and I called Google service centre for the ssame. THey say that the Google phones purchased from Amazon will not get warranty. This is surprising and a black spot for buying gadgets from Amazon.June 2024 update: Pixal only repairs the phone in Delhi so in case of Warranty or even out of warranty, of you want to get it repaired by authorized servise centre then it has taken 7 days from the day I gave the phone for repair in Mumbai to just give a quote of repair. Plus you have to pay for both way courier charges before they accept the phone for repair. Horrible after sales service and repair process.",Reviewed in India on 25 October 2023
4.0 out of 5 starsProduct is worthy,4.0,Product is good,Reviewed in India on 21 August 2023
4.0 out of 5 starsWorth the buy!!,4.0,Only problem is the lack of service center in India. Rest all is top notch.,Reviewed in India on 25 January 2023
4.0 out of 5 starsGood experience but Battery Draining too fast.,4.0,Camera is amazing...also all experience good.Cons- bettery draining too fast.,Reviewed in India on 18 February 2023
1.0 out of 5 starsWaste of money,1.0,"Firstly, amazon is not authorised seller in India. If you buy from amazon and face some issue, you won't be able to claim warranty as google support will simply deny because amazon is not authorised seller in India. Poor battery performance, fingerprint sensor doesn't work properly, app crashes and blackouts are very frequent. Very frequent restart while you simply scroll through your phone. Only good thing is it's camera. But if you are looking for camera, buy a legit camera and not Pixel phones! Nightmare!",Reviewed in India on 30 January 2024
4.0 out of 5 starsCharger,4.0,No charger is availableNo charger available in on-linen also,Reviewed in India on 2 March 2023
3.0 out of 5 starsFew bugs,3.0,Few minor bugs but camera cool one,Reviewed in India on 26 July 2023
5.0 out of 5 starsBestest,5.0,The media could not be loaded.Each and everything is going smoothly. The camera is the (best)¹⁰⁰⁰ in the market. Overall performance also very good. I can play BGMI very well But the issue is heating problem. Company should look into these problem.,Reviewed in India on 29 July 2023
5.0 out of 5 starsQuality phone,5.0,I switched from ios to android which is a big step but overall pixel is going to be the future of androids its really good and has an elegance to jt ..beautiful product by google .,Reviewed in India on 15 June 2023
2.0 out of 5 starsPls don't buy this phone,2.0,"Pixel 7 have major problem of heating, battery doesn't work for a full day. In a single day use of calling only I have to charge it twice a day. And fun of pixel is it takes 2:30 hrs to 3:00 hrs to get full charge.Full of waste of money....",Reviewed in India on 23 February 2023
5.0 out of 5 starsSatisfied,5.0,I was much worried until i received the mobile phone because it was very risky to order  a google pixel mobile when no authorized dealer or distributers in India. Thank God i got what i wanted.,Reviewed in India on 15 May 2023
4.0 out of 5 starsPower adapter for battery charging not found in the box. Only cable is found.,4.0,Without power adapter how to charge the phone battery?,Reviewed in India on 28 January 2023
2.0 out of 5 starsHeating issue,2.0,High heating issue while chargingAnd while using phone 📱 .Dont expect these much heating from this 50k device.And I'm doubted that it's a Japan product too!??Camer is spr and overall all sprExcept battery 🔋 heating issueSlow charging .,Reviewed in India on 9 May 2023
3.0 out of 5 starsGoogle doesn’t provide warranty on amazon purchase,3.0,Poor product,Reviewed in India on 27 July 2023
4.0 out of 5 starsBetter product from Google,4.0,Rate little bit high compartively,Reviewed in India on 20 February 2023
1.0 out of 5 starsFinger touch face deduction,1.0,"Finger touch and face deduction very poor,Battery drainage,Waste of moneySometimes hang during play clash of clans",Reviewed in India on 7 December 2024
5.0 out of 5 starsOne of the best value for money devices from 2022,5.0,"The customisation options are limited, for eg. There is no option to screencast to wireless display using wi-fi direct, which is available on most devices from other manufacturers.Otherwise, it is a great user experience. The camera is fantastic.",Reviewed in India on 12 January 2023
2.0 out of 5 starsReview,2.0,It's been 3 months since I am using this product phone shows total green screen occasionally without any reason phone get stuck at call screen sometimes nd data cable has been already malfunctioning,Reviewed in India on 18 September 2023
2.0 out of 5 starsVery poor fingerprint sensor. Leaving google pixel after 6 months of use.,2.0,Going for nothing 1. Leaving google pixel 7. Only due to frustrating finger print reader. Spent half a lakh rupees on a phone everytime I have to press finger 3 times and then type the passcode,Reviewed in India on 8 August 2023
5.0 out of 5 starsAwesome,5.0,"I have purchased my phone 1 week ago at first battery backup was not too good but now it is.Camera is excellent,and phone works really smoothAbsolutely worth it!⭐⭐⭐⭐⭐",Reviewed in India on 1 June 2023
1.0 out of 5 starsNot satisfied with this product in amazon,1.0,"I got pink line in screen within 10 days, march end purchased. When i reached authorized service center, they told that the amazon is not our authorized dealer so we cant provide warranty.  I thought that amazon is trustworthy in products. But in this condition i need to pay for repair even i am having warranty period. No use in purchasing of new product in high cost here. unsatisfied kind of thing in amazon and this product also.",Reviewed in India on 6 May 2023
3.0 out of 5 starsVery slow charging and heats up. If I had known heating issue I woyhave never bought it.,3.0,Battery and heating issue,Reviewed in India on 13 March 2023
3.0 out of 5 starsvalue for money,3.0,Good,Reviewed in India on 2 May 2023
5.0 out of 5 starsPower Packed Android Device,5.0,"Absolutely pleased with Pixel 7!Super fast delivery and excellently packed.The Pixel 7 hands down is the best Android device out there - Android 13, Battery Life over 24 hours, Smooth UI and so many features.",Reviewed in India on 22 December 2022
4.0 out of 5 starsNice product charging slow,4.0,Nice product,Reviewed in India on 20 January 2023
2.0 out of 5 starsUse less product,2.0,"Didn't like it, there are many issues in this phone... doesn't charge properly, gets on silent mode itself again again, flash light turns on without doing anything, fingle print doesn't work properly",Reviewed in India on 7 June 2023
5.0 out of 5 starsI'm loving it,5.0,The camera is just too good. I'm very happy with my choice mainly because of the software for pictures. It is amazing,Reviewed in India on 13 July 2023
1.0 out of 5 starsNo Service Center and warranty problem,1.0,Its been 10 months we bought the phone and now motherboard problem and software problem. There is no service center available in the area. Whatever the center available they are not okay with continuing with device warranty since its only 10 months.  Now they are asking 10000 for the repair.,Reviewed in India on 28 March 2024
2.0 out of 5 stars5G doesn't work. Heating Issues and poor battery life.,2.0,"Camera and UI is very smooth. However, 5G doesn't work at all. The last network is 3G and LTE on it.  There is a heating issue as well. If not for network and heating, I would've gladly used the phone.",Reviewed in India on 2 January 2023
1.0 out of 5 starsgoogle service centre in Mumbai not accepting warranty claims for pixel purchased from amazon.,1.0,"My google Pixel 7 5G failed in 6 months and to my surprise the google service centre in dadar , mumbai is not accepting warranty claims for phones purchased from amazon. surprisingly they are accepting claims for phones purchased from flipKart.  according to service centre the phones from amazon are refurbished and not original.  I am approaching consumer court.",Reviewed in India on 30 September 2023
"1.0 out of 5 starsIt’s not Indian unit, it’s made for Japan",1.0,"The moment I switched on the mobile & tried to set it up, it was a shock for me that this unit is meant for Japanese & not Indians.Therefore, warranty will not be available at any Google stores in case of any problem in the phone.The seller should have mentioned clearly in the description about this thing as people buy it & later regret it.",Reviewed in India on 12 April 2023
5.0 out of 5 starsBrand speaks for itself,5.0,"It's an amazing phone. Amazing, smooth and fluid. Android at it's best. Camera quality is good.",Reviewed in India on 21 July 2023
1.0 out of 5 starsDead phone after 3 months with NO WARRANTY !,1.0,"Ok so my phone this same Pixel 7 dead after 3 months after an auto update, Amazon said SORRY ! NO WARRANTY AVAILABLE. So I am stuck with a dead pixel brick. There you go. Befor buying an expensive thing from Amazon try to call the customer service if it's not clear whether they will back you incase of any malfunction.",Reviewed in India on 22 June 2023
5.0 out of 5 starsAbsolutely amazing,5.0,This is a steal for anyone looking to buy a phone for under 60000,Reviewed in India on 19 June 2023
5.0 out of 5 starsIt's a value for money product,5.0,"Overall it's a good phone, but it have some heating problem...",Reviewed in India on 25 July 2023
1.0 out of 5 starsDont buy it from amazon its a Japanese unit,1.0,"Dont buy google poxel from Amazon they are not the registered seller of pixel this is a Japanese unit and you wont be able to return or replace the item aslo your warranty will not be covered in India.The phone is good, just a have heating issue while charging and on high demanding apps like games etc",Reviewed in India on 18 June 2023
5.0 out of 5 starsBest camera phone,5.0,Best phone for camera. Ultimate photo  can capture.,Reviewed in India on 2 August 2023
1.0 out of 5 starsHeating issue & customer service (!!??) issue,1.0,1 mth old..50k product...heating and overheating sometimes while charging and sometimes on its ownAmazon says they can't do anything as return period is over (which was some 10 days).. What brilliant service...and that message comes after 8 phone calls...basically telling us not to buy costly stuff online as there will be no service forthcoming...,Reviewed in India on 7 July 2023
5.0 out of 5 starsFeatured phone.,5.0,Except fast charging all are greatIt takes 1hour 43 min to charge fully.,Reviewed in India on 27 April 2023
5.0 out of 5 starsBest phone ever,5.0,One of the best camera and performance phone,Reviewed in India on 24 July 2023
1.0 out of 5 starsDefective phone. Google doesnt service if brought from amazon,1.0,Purchased pixel 7 from amazon and received defective piece as mic not working properly. When contacted google they say that amazon is un authorised vendor and hence though product is original we will not give warranty.This war between amazon and google is looting the customers.Please help what to do. Not stuck with new google pixel 7 defective phone,Reviewed in India on 30 January 2023
5.0 out of 5 starsGood phone,5.0,Flagship phone with good build quality and especially camera,Reviewed in India on 22 June 2023
5.0 out of 5 starsPhone quality,5.0,"Overall good purchase, product quality is good, received as expected.",Reviewed in India on 21 May 2023
"1.0 out of 5 starsProduct is defected after 6 months of use, and I can't contact seller for seller's warranty",1.0,"The problem that I am having is the display goes green, and it doesn't work. Also the bottom of screen gets too hot, around 70 C and the battery gets drained very fast,, I don't know how to contact the seller for seller warranty",Reviewed in India on 19 September 2023
1.0 out of 5 starsDon’t buy,1.0,"Bought pixel 7 in Mar’23 ,Oct ‘23 - went dead , not turning on.Worst part is if you buy through Amazon there is no free support .Only Flipkart is authorized seller.Worst purchase for 50k",Reviewed in India on 28 October 2023
5.0 out of 5 starsAwesome product.. google has put everything they are known for,5.0,"GSuperb screen, fluenf and great camera",Reviewed in India on 29 May 2023
1.0 out of 5 starsDo not buy from Amazon ever,1.0,"This is a US import unit. If there is any issue, Amazon or Google both do not honour warranty for repairs. My pixel 7 back camera completely stopped working, and I have been refused repair under warranty.",Reviewed in India on 7 October 2023
2.0 out of 5 starsWorst fingerprint sensor,2.0,Worst fingerprint sensor.Poor battery lifeJust camera is goodNot value for money,Reviewed in India on 18 December 2022
1.0 out of 5 starsWorst phone I have ever purchased,1.0,This is the worst phone i have ever purchased. Too much hang issues and now display panel also hanging to outside.,Reviewed in India on 29 February 2024
5.0 out of 5 starsGood,5.0,Works good,Reviewed in India on 3 July 2023
1.0 out of 5 starsPoor service,1.0,The products display gone while warrenty period..Amazon warrenty service is not applicable to product service centres..As on today I am not getting the solution as on today.,Reviewed in India on 3 December 2023
5.0 out of 5 starsGood phone,5.0,Its a good phone. Liked it.,Reviewed in India on 16 February 2023
1.0 out of 5 starsTerrible Phone. Don't buy,1.0,"Lot of over heating and battery drains very fast.Takes almost 2 hours to charge completelyOnly camera is good.Not at all worth 45k.I regret buying this, should have bought Samsung S21/S22 FE instead.",Reviewed in India on 18 May 2023
1.0 out of 5 starsNo Warranty,1.0,Don't buy pixel phone Amazon because pixel doesn't give warranty for this device if any problem happens. So don't buy,Reviewed in India on 10 November 2023
1.0 out of 5 starsNone,1.0,Not atall worth it. Plus worst service anyone can expect from Amazon. I twice raised concerns about the phone once the guy came looked at it and left. Post that Amazon never reverted back.,Reviewed in India on 20 February 2023
1.0 out of 5 starsPerformance,1.0,When ON my back camera one small black spot found in screen.where is service center in odisha,Reviewed in India on 23 October 2023
1.0 out of 5 starsDo not buy this phone.,1.0,This is the phone’s display 12 hours after opening the box. A defective piece sold by a seller on amazon. Why did I even contemplate buying this?,Reviewed in India on 23 May 2023
1.0 out of 5 starsNot worth the money,1.0,Finger print and face Id both sucks. Even 10k mobiles are maintaining better than this mobile. Especially in dark nothing works. It is really irritating,Reviewed in India on 23 May 2023
1.0 out of 5 starsReceived used phone,1.0,Receiver used phone where screen is not covered with screen cover.Charger cable is folded and kept in the box,Reviewed in India on 3 August 2023
1.0 out of 5 starsNot at all satisfactory,1.0,Phone is overheated. Even small usage ends up in overheating. Not at all worth the money.  Please don't buy this phone,Reviewed in India on 28 June 2023
1.0 out of 5 starsFinger print and phone audio,1.0,I bought this phone on 10th July. Very bad features of finger print and phone audio. Please provide new phone,Reviewed in India on 18 July 2023
1.0 out of 5 starsWarranty issues,1.0,The phone is made in Japan hence warranty can not availed in India. Should be replaced with a phone whose warranty is valid in India.,Reviewed in India on 5 February 2023
1.0 out of 5 starsDon't buy - there is guarantee you get,1.0,This is a Japan based device and hence company warranty is void. No replacement or authorised service.,Reviewed in India on 22 May 2023
1.0 out of 5 stars@google @googlepixel says anything bought from Amazon they wont be providing any warranty,1.0,@google @googlepixel says anything bought from Amazon they wont be providing any warranty for that product.,Reviewed in India on 31 May 2023
1.0 out of 5 starsWorst,1.0,Phone heated up as soon as I opened and started it,Reviewed in India on 6 June 2023
1.0 out of 5 starsBahut kharab quality bahut garam hota hai,1.0,Quality thik hai but hitting bahut jyada hota hai,Reviewed in India on 28 April 2023
1.0 out of 5 starsHeating,1.0,Don't buy this product in Amazon Google support not giving any warranty.,Reviewed in India on 10 February 2023
1.0 out of 5 starsModel,1.0,I am not happy with pixel 7,Reviewed in India on 7 May 2023
1.0 out of 5 starsRecieved a second hand phone.,1.0,Someone else has used and has done the reset improperly.,Reviewed in India on 31 January 2023
1.0 out of 5 starsnot used but phone heating problem is very critical,1.0,Phone heating is very much,Reviewed in India on 1 June 2023
4.0 out of 5 starsBeware this is imported version and may not be claimed under warranty.,4.0,"Device is great. Today I bought it from official retail seller e commerce website of Pixel device which is not amazon (Can't write the name here). Here you will get carrier unlocked models only that's why cheap.It is a phone that will change the way you view at premium phones. Trust me, if you love android but don't want Galaxy store or third party themes or oppo vivo stuff, go for this. Present it confidently before your apple buddies. Note: Pixel phones are for busy people who want a no-nonsense smartphone. For gamers, there are other obvious choices.",Reviewed in India on 27 May 2023
