Title,Rating,Review,Date
4.0 out of 5 starsquality,4.0,Why did you pick this product vs others?:not used to samsung UI. getting used to it,Reviewed in India on 23 June 2025
4.0 out of 5 starsPhotos and display.,4.0,"S24 is simply superb.  High quality photos, display extordinaary. Battery required 5000mah. But it only 4000mah. Overall it is too good.  5/5.",Reviewed in India on 27 May 2025
4.0 out of 5 starsSheerly beautiful with but with it's limitations,4.0,"Update (04th August) :Reducing one star this time.Now using it after 15 days, certainly there are some limitations in this phone. Albeit they can be addressed. First is phone started to heat up on very basic operations in first one week, later on it gradually got under control. It's still not 100% cool while doing basic stuff such as browsing, playing music. But not as much as it was in first week. Maybe battery is taking time to recalibrate.Second is battery performance. This is where it gets tricky and requires a patience and experiments. Over a all last two I have done changes in setting where with same usage pattern battery can literally vary from 5hrs screen on time to 7hrs sot. This can get frustrating to figure out.Phones default settings out of factory might provide somewhere around 5-5:30hra sot. If you need more then you need to tweak the settings a lot like - putting apps to deep sleep, turning google search app off, turning off adaptive battery protection, turning off Customization services or using it for very specific apps. (I use it for routines and modes only where while charging only it turns on adaptive battery protection.) these settings tweaks and experiments I managed to get 6:30-7hrs of screen on time. Phone with such a premium price shouldn't require user to perform such analysis to get best out of it.Third is camera : I am still not 100% convinced that this can take better pictures in all scenarios. In low light I have observed it's hit or miss. Images are soft in low light. Maybe software update need to fix this. Other than this under normal light condition camera works at reasonably respectable quality.--------‐-----------------------------------------------Coming from using ios for last 6 years, this is altogether different and enriching experience. The size in palm of your hand feels so beautiful that in incomparable to anything else in terms of ease of using the phone. There had been hell of debate over snapdragon vs exonys, and quite valid biases towards exynos considering it's poor legacy. But this time it looks like Samsung have almost nailed it. Haven't though tested with heavyweight games but day to day experience has been hyper smooth and quite a respectable battery of almost 7 hours of screen time. Battery charging takes a time at 25w max but it was never an issue for users like me. I am not in rush. Sound quality is great, camera looks decent though its too early to compare with iPhone picture quality, it produces reasonably well lit well exposed images. Overall fully worth the price.Would be updating this review again after few months of usage.",Reviewed in India on 23 July 2024
3.0 out of 5 starsExynos instead of Snapdragon is a cheating,3.0,Eventhough in the description its shown its having Snapdragon but Its not having Snapdragon its Exynos and the battery life is very low.Even after the updates its the same.I bought this thinking it contains SD🤧,Reviewed in India on 24 June 2025
3.0 out of 5 starsHeat issue,3.0,"Heat issue is there which is major ,apart from this phone is good .",Reviewed in India on 24 June 2025
4.0 out of 5 starsOverall it delivers very good value for money,4.0,Very nice phone. Battery life and slow charging is a bit of issue in Samsung. On hand feeling is quiet good. Handy phone having nice UI support. Compared to iphone 15 or 16 It is value for money.,Reviewed in India on 15 April 2025
5.0 out of 5 starsBest Compact Phone At this Price,5.0,Great value for money at this price point,Reviewed in India on 20 June 2025
3.0 out of 5 starsS24 size is smaller than S22,3.0,Not better than S22 . Smaller size .,Reviewed in India on 11 June 2025
4.0 out of 5 starsOnly con is heat,4.0,"Got a good original product, no scam , only cons of this phone is its heats a lot",Reviewed in India on 6 April 2025
5.0 out of 5 starsNice,5.0,Mobile is very nice,Reviewed in India on 25 June 2025
5.0 out of 5 starsGood,5.0,Good product,Reviewed in India on 14 June 2025
5.0 out of 5 starsSamsung s24,5.0,"Product so good but, Delivery system so bad",Reviewed in India on 6 June 2025
"4.0 out of 5 starsGreat Display & Performance, But Battery Life Needs Work",4.0,"The Samsung Galaxy S24 is a solid smartphone with a lot to offer, but there are a few areas where it falls short. Here's a breakdown of its key features:Battery: The battery life on the S24 is decent, but not great. You can expect to get through ~5 hours on a single charge with moderate use, but standby time is poor. This means the battery drains even when you're not using the phone.Camera: The camera system on the S24 is good, but not exceptional. It takes good photos in most lighting conditions, but it doesn't quite match up to the best camera phones on the market.Display: The display on the S24 is excellent. It's bright, clear, and has a high refresh rate for smooth scrolling.Heat Management: The S24 tends to heat up more than expected, even during basic tasks like browsing the web. This becomes a bigger issue when using the camera, where it can get quite hot even after short recording sessions or charging your phone.OS: The S24 comes with Android 14 with lot of improvement, but expecting to receive an update to Android 15 at the earliest (Even Nothing 2a has received it)Other Considerations:Design: The S24 has a sleek and stylish design that's comfortable to hold.Performance: The S24 is a powerful phone that can handle even the most demanding tasks (not gaming)Software: Samsung's One UI software offers a variety of features and customization options.Overall, the Samsung Galaxy S24 is a good phone with a lot to offer, but the battery life and heat management issues hold it back from being great. If you're looking for a phone with a great camera and excellent display, the S24 is a good option. However, if battery life and heat management are important to you, you may want to consider another phone.",Reviewed in India on 30 May 2024
3.0 out of 5 starsThere is battery issu,3.0,Need larger battery size according to os,Reviewed in India on 14 May 2025
"5.0 out of 5 starsGood phone, overall, Exynos is improving",5.0,Good phoneOver-all good improvement on Exynos optimizationI get around a 6 to 7 hrs of screen on time with the continuous usage,Reviewed in India on 15 May 2025
5.0 out of 5 starsNice one,5.0,Nice product bought for my father he was really happy,Reviewed in India on 22 May 2025
2.0 out of 5 starsPhone is in good condition but is not a great buy,2.0,"Have been using Oneplus 6t for about 5 years after which I switched to Samsung s24. I was expecting a lot more advancements but the phone was a disappointment. Mainly due to it's battery life, reboot time, night camera, face unlock and fingerprint scanner which in my opinion is below average from its price point.The processing speed is average, sound quality is average. I'm a minimal user and yet I feel the battery life is terrible. Especially when it's on low battery the phone drains out in minutes. Cannot capture a good selfie in the night even when the phone is on a stand.I do like the new AI features but I would rather prefer to have the basic functionality to be better. As for the AI features,  you can choose to delete an object from the photo you took but can't choose to insert an object you want. Instead, you can choose the object you want to alter, and run the AI tool hoping that it understands what you want.A cool feature I was interested in was the inbuilt language translator, however, I realised later that only a limited number of international languages are available for use. All in all, it would be better to get a chatgpt subscription rather than buy this phone for it's AI features.The charger was another disappointment.  The phone does not come with a charger but only a charging cable. This phone would take upto 5 hours to charge on a regular dash charger so I had to buy a specific 45w charger from samsung. The charging cable looked very feeble, and not so surprisingly, broke within 2 months of usage.I usually have loved all my phone purchases and this was the first phone I regret buying. I miss my oneplus 6t and I do consider giving up this phone in exchange for a new oneplus or an iphone. I wish Amazon India had a return option for phones like they provide in the USA.Edit: I tried to exchange this phone for the new oneplus or iphone but the s24 128gb 8gb is not accepted for exchange all across the amazon app. Now I'm stuck with this thing.",Reviewed in India on 8 November 2024
4.0 out of 5 starsS23 vs S24 Exynos,4.0,"If you're torn between the Samsung Galaxy S23 Qualcomm version and the S24 Exynos version, I've got some insights that might help you decide.I've had my hands on both, and here's the deal: the S24's screen is a total eye-catcher, outshining the S23's already impressive display. The build has a more premium vibe, though the S23 isn't far behind in quality.The game-changer for me was Samsung's 7-year promise for OS and security updates on the S24 – that's longevity right there! While the Exynos 2400 might boast higher benchmarks than the Snapdragon 8 Gen 2, in everyday use, it's pretty much neck and neck.Now, my wife's S23 stays cool as a cucumber, but my S24? Gets a tad warm during updates – nothing alarming, though. And battery life? Identical twins!So, who should snag the S24 Exynos? If you're all about future-proofing with those sweet updates, it's your match. Otherwise, the S23 still rocks and comes with a friendlier price tag. If you want to game, then you should not buy this, and I will suggest to buy a bigger phone for better cooling and bigger screen.And hey, if you're comparing it to the iPhone 15 base model – the S24 Exynos has got it beat. Wishing we had the Qualcomm version here in India, but hey, Samsung's catching up fast in the processor race.",Reviewed in India on 15 March 2024
3.0 out of 5 starsAverage,3.0,"In this cost , camera is average if you compare with i phone . Battery is not more then 1 day. Touch is smooth.. but will explore more before buying this",Reviewed in India on 9 April 2025
5.0 out of 5 starsAmazing Device,5.0,"The design is sleek and modern, with a durable glass back and metal frame, giving it a premium feel. Samsung has retained the stunning Dynamic AMOLED 2X display, which supports a 120Hz refresh rate for smooth scrolling and an immersive visual experience. The display is bright and vibrant, offering excellent color accuracy and HDR10+ support, which is perfect for media consumption.The camera system on the Galaxy S24 is one of its standout features. It boasts a versatile triple-lens setup with improved low-light performance, thanks to its upgraded main sensor and enhanced image processing. The zoom capabilities have also been refined, making the phone an excellent choice for mobile photography enthusiasts. The portrait mode, night shots, and video stabilization are impressive, competing with the best in the market.Battery life is solid, with a capacity around 4,900mAh that should comfortably last through a day of moderate to heavy use. Samsung's fast charging, wireless charging, and reverse wireless charging are also present, though the absence of a charger in the box may be disappointing for some. The phone also runs the latest version of Android with Samsung's One UI, which adds useful features and a clean user interface.5G connectivity, water and dust resistance (IP68), and robust security features like the in-display fingerprint sensor and facial recognition round out the Galaxy S24's feature set. However, the price point remains high, which might make it a better option for those willing to invest in a premium flagship phone.Overall, the Galaxy S24 delivers a fantastic all-around experience with top-of-the-line hardware, impressive cameras, and a beautiful display. It’s a great choice for anyone looking for a high-performance smartphone, though its steep price might give some pause.",Reviewed in India on 23 October 2024
5.0 out of 5 starsMohammed Shahzad,5.0,"Very good phone, good feeling in hand",Reviewed in India on 13 May 2025
4.0 out of 5 starsValue for money,4.0,"Superb phone, value for money. Only bettery need to improve. Only normal uses it can last upto 1 day but on heavy uses need to charge twice also.",Reviewed in India on 29 January 2025
4.0 out of 5 starsUser interface: 4.5/5  Display: 5/5  Camera: 5/5  Performance: 4.5/5  Battery: 4/5,4.0,"Everyone has written the complete review of this phone so I am not covering details again. Just want to focus on only one aspect i.e. this is a premium segment phone no doubt but the battery needs to tuned for serious. It drains like anything. It is understandable that because of the screen and the refresh rate battery life is less but these are premium parts of this phone and you cannot avoid to use a higher refresh rate screen. This is because as per the chipset used, it is highly essential to improve the efficiency.Other then that this is a fantastic phone where it can beat IPhone 15 series and Google Pixel 8 series in many aspects.The display is amazing, performance is also very smooth, and the camera is the master asset in this phone. Trust me you won't find a telephoto lens in any of the base variants of premium segment phone(neither iphone nor google pixel)except Samsung. But again if you want a phone for high class security and privacy then i phone is better.",Reviewed in India on 20 July 2024
5.0 out of 5 starsUnbeatable !!,5.0,Camera AmazingDisplay AmazingEverything Amazing !!,Reviewed in India on 10 May 2025
4.0 out of 5 starsGood phone,4.0,"This phone is made for those who want small and handy mobile in pocket and don't want big and heavy phones that require both hands to operate. Camera quality is one of the best I've seen in any mobile this justifying the flagship phone tag. Just one complaint though - during setup of phone, don't know how the paint got removed near power button.I guess if someone wants to buy, buy metallic colour - golden or silver, to avoid such problem.",Reviewed in India on 7 December 2024
4.0 out of 5 starsA good phone,4.0,Battery life could be better. Camera is the winner here. Color balancing is something very strong.Samsung Ui makes the experience better.,Reviewed in India on 29 January 2025
4.0 out of 5 starsOver all performance is awsome,4.0,But I'm facing heating issues even though I'm not using it much..beware of that .,Reviewed in India on 26 January 2025
5.0 out of 5 starsIts a good mobile Phone,5.0,"I HAVE WAITED FOR 6 MONTH TO SHARE THIS FEEDBACK.1. NO lag in performance,  no hang or freeze while running heavy application.2. Using as a developer phone, connection with android studio smooth and easy and feasible to debug.3. Camera quality is great and AI feature is an extended support for photo shoot lovers you won't feel bad.4. AI application present are awesome and performs as expected.5. Battery backup is good inspite of using extensively.6. Speaker is great, and loudspeaker selection while call its awesome.Guys i didn't fine any cons in this mobile till now,  and buy this mobile you will love it.",Reviewed in India on 3 February 2025
3.0 out of 5 starsWASTE OF MONEY,3.0,Not a good product .It lags again and again while using any social media app,Reviewed in India on 9 March 2025
5.0 out of 5 starsGreat phone amazing performance,5.0,"I shifted back to samsung after a long time, and chose S24. The phone is amazing to have and performs well in day to day tasks.Camera is great with AI enhancement.AI is well integrated in the phone delivering many features.Performance wise it can play any heavy game.Sound is amazing with speakers at both sides.No issues with the exynos chipset.Superb Screen, clear and visible in outdoors.As its a compact device there are some minor heating issue.Charging is decent. Takes around 1-1:30 hours to get fully charged.Battery lasts a day with normal usage(scrolling through social media, OTT and videos playback, browsing the internet)With heavy usage you might have to charge it frequently or get a better option of s24+To conclude, if you need a compact device do prefer s24 as it will be getting regular updates as well as the phone is amazing to hold and great with the specifications.",Reviewed in India on 12 November 2024
5.0 out of 5 starsMind blowing!!!,5.0,"I recently got my hands on the Samsung S24, and after spending some quality time with it, here's my detailed review:**Camera Performance:**In daylight, the camera performs exceptionally well, capturing vivid and detailed shots. The colors pop, and the images are sharp, making it a delight for photography enthusiasts. However, during low-light conditions, there's noticeable noise in the photos. Nevertheless, I'm optimistic that Samsung will address this issue with future updates.**Battery Life:**Contrary to some complaints about the battery, I found it to be quite impressive. With the amazing battery optimization feature tucked away in the settings, I easily managed to squeeze out 8-9 hours of screen time. It's important to note that heavy users might experience faster drain, but for moderate usage, the battery life is commendable.**Heat Management:**One drawback I noticed was the device heating up with prolonged usage. While it's not a dealbreaker, I do hope Samsung addresses this issue in subsequent updates to ensure a smoother user experience, especially during intensive tasks.**AI Features:**The AI features on the Samsung S24 are a standout. The AI editor allows for creative freedom, enabling users to produce stunning photos effortlessly. Whether it's enhancing colors or adding artistic effects, the AI capabilities truly shine, elevating the overall photography experience.**Overall Impression:**Despite a few minor quirks, the Samsung S24 is undoubtedly a must-buy phone. Its exceptional camera performance in daylight, coupled with impressive battery life (thanks to optimization features) and innovative AI capabilities, make it a solid choice for anyone in the market for a reliable smartphone. With potential updates on the horizon to address concerns like low-light photography and heat management, the Samsung S24 is poised to be a top contender in the smartphone market.",Reviewed in India on 19 April 2024
4.0 out of 5 starsSo far so good.....,4.0,"I'm using this phone for last 3 weeks. Good phone.  Not sure about gaming as I don't play games on phones.  Otherwise,  it's a good phone to handle day-to-day needs. Yes it heats, but doesn't over heat. Heat gets easly dispersed aswell.  One ui is awesome! Good camera. Overall it's a good phone.",Reviewed in India on 2 November 2024
4.0 out of 5 starsLove ❤️,4.0,This was my deep desire to have it and specially amber yellow edition. Amazon helped me to get at best value and with ease and with all required accessories ✨️.  Love my phone and using it with no single issue. Very true product.  Applaud to Amazon,Reviewed in India on 9 November 2024
5.0 out of 5 starsBest android phone under 51k,5.0,"Using from last 2 month, the camera is excellent and the samsung display is best.",Reviewed in India on 3 April 2025
"4.0 out of 5 starsBattery, Heat",4.0,"Everything with the Phone is alright except the battery, it drains so fast even if I am not using the phone. And also the phone heats after a short use of phone..",Reviewed in India on 21 November 2024
5.0 out of 5 starsTitle: Powerful Upgrade with Stunning Display an Solid Battery Life!,5.0,"I've been using the Samsung Galaxy S24 for a few weeks now, and I'm genuinely impressed! The display is stunning, with vibrant colors and smooth scrolling that make watching videos or browsing a real treat. The phone's performance is top-notch; it handles apps, games, and multitasking with ease, thanks to the new processor.Battery life has been solid, easily lasting me a full day on moderate usage. The camera setup is impressive too, especially in low-light conditions. The photos are clear, detailed, and very vibrant. However, the zoom quality could still use some improvement.One thing to note is that while the design is sleek and modern, it feels a bit similar to previous models. For users upgrading from older devices, it's a great choice, but those with recent models might find the difference subtle. Overall, it’s a powerful, feature-rich phone that offers fantastic value!",Reviewed in India on 6 October 2024
5.0 out of 5 starsNo more fear of online purchase,5.0,Great phone though size was little set back ..it's tuny comparatively. But I had lot of apprehensions buying it online and this seller has proven it wrong. Happy with this online purchase...!!,Reviewed in India on 17 March 2025
"4.0 out of 5 starsCompact size , Everything cool apart from battery",4.0,"Premium look is the USP. It does slips as it has glass back and smooth edges. No scratches or dents even after falling multiple times (minor, head/pocket height).Every flagship features check the box (refresh rate, fluid ux, camera, sound, navigation, size)",Reviewed in India on 1 November 2024
5.0 out of 5 starsPremium mobile experience,5.0,"This phone has everything which makes it a premium flagship device.Seller: INDIAN LIBERTYFeedback: Seller is good and sent me a brand new sealed pack mobile.Samsung Galaxy S24Pros:1. Camera takes good photographs.2. stereo sound quality is loud and clear.3. seamless migration from the old device.4. Smooth user experience of Samsung One UI.5. Awesome AI features for search and media editing.6. Compact form factor and premium looks.7. All day battery back up on Adaptive display (120 htz) on moderate usage. Keeping it on 60 htz will last longer for obvious reason. I used this device during a recent trip and it gave me all day back up. I was continuosly on roaming data, used maps for long hours, took hundreds of photos and captured few short videos, used for making contactless payments, used multiple apps at the same time and much more. I had a seamless experience with no hiccups at all. With 30w charger it takes around 1hr to fully charge. Within 15mins it can charge upto 25-30% approx.Cons:1. I found my LG G8x Thinq has a better display quality but this is just a personal experience.2. Phone gets warm (not hot) when multi tasking is done. So it is with most of the devices.3. Screen size feels little smaller when you shift from a bigger screen size.4. You have to purchase super fast charging adapter, earbuds separately which will cost you around 2-3k.",Reviewed in India on 25 April 2024
4.0 out of 5 starsUnderrated flagship phone,4.0,"Really enjoyed using it over the last week. Other than the speakers, I haven't found any other issue with the phone. The weight is perfect, battery life is quite good, comfortable to hold and overall for the price it's a great deal.",Reviewed in India on 25 October 2024
"3.0 out of 5 starsDecent device, unfortunately ruined by Exynos",3.0,"Decent device, unfortunately ruined by Exynos",Reviewed in India on 26 February 2025
5.0 out of 5 starsMobile phones,5.0,Amazon provide very good product,Reviewed in India on 9 April 2025
5.0 out of 5 starsBest product.,5.0,Good Product.  I bought in 56k.All are good accept battery life.,Reviewed in India on 29 March 2025
"2.0 out of 5 starsNot new, wrong processor, misleading listing",2.0,"Received the phone with a worn-out box, no SIM ejector pin, and signs the screen protector had already been removed. Got it checked at a Samsung service centre — it was activated 24 days before delivery. Also, the listing said Snapdragon, but the phone came with an Exynos. Definitely not what I expected from a new product.",Reviewed in India on 21 April 2025
3.0 out of 5 starsNot satisfied as expected,3.0,"There are heating issues.Face and finger unlocking is slow and sometimes does not workOnly benefits than iphones - non pros models is that it is AI enabled phone.Dk nkt think that Camera is like a proper cameras... i think, it is not as expected as it is high segmentOtherwise no problem with delivery and phoneStill, with above issues, you want to buy this phone, buy it from samsung shop application because they give other benifits with samsung watch and other accessories. I saw later after buying, so cant reverse the decision.But if you st",Reviewed in India on 18 October 2024
5.0 out of 5 stars👍Good Performance and Camera 🤩🤩,5.0,"I purchased this mobile from Amazon on release date. Initially the camera clarity with over saturation was observed and battery backup was noticed poor. After April 2024 update, samsung fixed those issues. I have uploaded the screenshot for battery which lasts up to 7 hours. Camera quality and shutter speed also improved. Any issues, the samsung will update positively within short time.Pros:☆ Samsung promised 7 OS updates upto Android 21.☆ Build quality is nice.☆ Camera quality has been improved. Front camera is awesome.☆ Battery backup is good☆ Sound quality is good with stereo speakers☆ No lag when handling any apps.☆ Samsung Exynos processor performs nice. No heating issues.☆ Data transfer by USB 3.2 is awesome.Cons:¤ This phone uses LPTO AMOLED display technology. The colour reproduction and quality is much poorer than Super AMOLED. Display quality will disappoint you.¤ I have enabled Touch Sensitivity in settings eventhough the finger unlock struggles after fixing screen guard.¤ Still the camera needs to be improved especially 50MP shows nice image in display. After capturing,  it adds contrast  towards black making it poor.Hope future update may resolve this issue.Overall this is high performance and nice built quality. Thank you Amazon for fast delivery.",Reviewed in India on 30 March 2024
4.0 out of 5 starsOne of best,4.0,"Best camera best AI. Just one drawback, low battery performance.",Reviewed in India on 29 November 2024
2.0 out of 5 starsLow battery life,2.0,Battery life is low. It gets discharged quickly - within 10 hours after full charge. This is very unusual for a brand new phone.,Reviewed in India on 19 May 2025
4.0 out of 5 starsExynos is Good,4.0,Samsung is only option for a person who don't like Chinese phones. Pixel service center not reachable for us. Exynos 2400 is very fast and responsive for me as I don't play games. I get very good battery backup for a full day usage. I like the one Hand phones only and beside flagship you don't find any these days. Display is very good. Touch I'd works like charm. Sound output is also very good and loud. So overall it's a phone for handy likes and moderate users. Price should be less about 65-70k ( that's why 1 star less),Reviewed in India on 6 March 2024
4.0 out of 5 starsBest mobile,4.0,In this price s24 is best performance  mobile but something  heating issue happened whenever  environment  temperature  going up. Otherwise  mobile and camera  battery  screen touch fingerprint  all are best.,Reviewed in India on 20 September 2024
5.0 out of 5 starslowest price and next day delivery,5.0,genuine product. lowest price and next day delivery. only amazon can do this.phone was sealed pack and not used or activated. go for this without having second thought.Amber yellow looks very elegant and phone works like a charm. bought this phone along with TheGiftKart transparent back case and along with OpenTech Smartphone Tempered Glass Screen Protector. my first experience of purchasing phone online and totally loved it. thank you amazon.,Reviewed in India on 12 December 2024
5.0 out of 5 starsGood,5.0,Good,Reviewed in India on 25 March 2025
2.0 out of 5 starsHeating Issue,2.0,Heating up too much .... suggest not to buy. I am trying to return - the seller is not allowing return -BEWARE,Reviewed in India on 29 April 2025
4.0 out of 5 starsCamera is very improve...,4.0,Camera quality is very good  performance best But the phone is getting heated very quickly and the battery is also draining very quickly,Reviewed in India on 8 October 2024
4.0 out of 5 starsBest phone you can get. It only has heating problem,4.0,"Best phone you can get. It only has heating problem. Sometimes even normal app usage also causes phone to heat up a little.Rest if you are looking for best camera, best user experience, best screen, best design (even though this is copied 🙃) this phone is the best.",Reviewed in India on 2 August 2024
3.0 out of 5 starsCompact and smooth device with poor battery life and frequent heating,3.0,"The device can easily be used with one hand. The display is quite bright. 120hz  adaptive refresh rate works really well. The phone can heat up during initial setup. The cameras are good for clicking sharp vivid pictures, it doesn't do a great job in capturing moving subjects. The battery life is not great, can only get about 4-5hrs screen on time at the end of the day. These issues are primarily because of the small form factor. If you are willing to look past these issues then it is one of the best options you can go for. Do consider pixel 9 of you want an android alternative.",Reviewed in India on 17 July 2024
3.0 out of 5 starsReview after 6months of usage,3.0,"Looks, quality, sound, performance, network quality, and battery backup are great for day-to-day use.Heating issues: while charging, camera use for 5-10 minutes of use.One UI is not optimized properly; it has too many bugs, like the camera color shifting with respect to background lights in an abnormal way sometimes.Charging takes more time than it shows, e.g., 1 hour 20 minutes. After 20 minutes, it's been like 1 hour 5-10 minutes. So, fake charging timing.After the August security patch, I got a single black line. 😭",Reviewed in India on 24 August 2024
1.0 out of 5 starsPRODUCT RECIVED WITH SOME ISSUES,1.0,"I HAVE RECIVED THE PRODUCT. THANK YOU FOR THE PRODUCT, BUT THERE IS A GLITCH. WHEN I OPENED THE BOX OF A BRAND NEW SAMSUNG GALAXY S24 AI THE PRODUCTS FLIP WHICH IS ATTACHED ON THE PHONE SCREEN IS ALREADY PULLED OFF AND ATACHED TO THE CHARGING CABLE CASE. THIS IS SO WEARED EXPERIENCE, IT SEEMS THE PRODUCT IS ALREADY SOLD TO SOME ONE BEFORE ME AND IT GOT RETURNED AND SOLD AGAIN TO ME.IAM EXPECTING SOME DISCOUNT ON THIS CASE. KINDLY TAKE THIS AS AN IMPORTANT NOTE.",Reviewed in India on 16 June 2025
