Title,Rating,Review,Date
4.0 out of 5 starsAPPLE 🍎,4.0,"Battery backup is not good , overall a all rounder lag free device , a little bit hitting while charging and doing heavy task , camera is too good DSLR like picture in every click , black colour is the best among all other colours ❤️ I’m happy with this device , thnx to amazon 👌🏻",Reviewed in India on 30 May 2025
4.0 out of 5 starsiPhone,4.0,"I gifted to my daughter, I recieved as I was expecting.Thank team amazon",Reviewed in India on 14 June 2025
4.0 out of 5 starsMust Buy to upgrade oneself while transacting digitally in this digital-driven world.,4.0,Received the item as per the expectations. Functionality is top-notch.,Reviewed in India on 10 June 2025
4.0 out of 5 starsIphone,4.0,Used to feature colour quality build quality is much be better,Reviewed in India on 8 June 2025
4.0 out of 5 starsI phone 15,4.0,Theek tha but 2 days let received hua,Reviewed in India on 9 June 2025
4.0 out of 5 starsBest product,4.0,Mobile is brand new condition but packing not good please do better packing,Reviewed in India on 7 June 2025
4.0 out of 5 starsPurchased apple iphone 15,4.0,Item was fine ..only it took time to receive the product invoice..,Reviewed in India on 6 June 2025
4.0 out of 5 starsNice product,4.0,Nice 🙂,Reviewed in India on 29 May 2025
4.0 out of 5 starsHappy,4.0,SettisfiedI phone as always good this time also,Reviewed in India on 17 May 2025
5.0 out of 5 starsGood camera quality,5.0,Why did you pick this product vs others?:Must buy product,Reviewed in India on 24 June 2025
4.0 out of 5 starsiPhone is because the best,4.0,Awesome my first iPhone 15 unboxing,Reviewed in India on 21 May 2025
5.0 out of 5 starsGo for it,5.0,Go for it if you want no AI non sense,Reviewed in India on 23 June 2025
4.0 out of 5 starsGood,4.0,Good,Reviewed in India on 19 May 2025
5.0 out of 5 starsGood,5.0,Very good,Reviewed in India on 27 June 2025
4.0 out of 5 starsCamera,4.0,Iphone is good choice,Reviewed in India on 16 May 2025
5.0 out of 5 starsValue for money,5.0,"Well if your budget is around 60k to 70k, don't hesitate to buy iphone15, go for it 👌🏻",Reviewed in India on 18 June 2025
5.0 out of 5 starsExcellent,5.0,Value for money,Reviewed in India on 24 June 2025
5.0 out of 5 starsEverything is fine and safe,5.0,It's very safety  to buy from this Amazon app i am happy 😊 thank you Amazon,Reviewed in India on 22 June 2025
5.0 out of 5 starsAmazing phone,5.0,"The best purchase I have ever made….Its been 6 months now since I purchased this phone and what an amazing performance it has…Battery health is good, picture quality is awesome..",Reviewed in India on 10 June 2025
4.0 out of 5 starsNice,4.0,Good,Reviewed in India on 13 May 2025
5.0 out of 5 starsTop,5.0,Wonderful  Mobile phone 😀,Reviewed in India on 17 June 2025
5.0 out of 5 starsGood Phone,5.0,Good Phone,Reviewed in India on 17 June 2025
5.0 out of 5 starsSuppppor,5.0,Mast he boss,Reviewed in India on 18 June 2025
5.0 out of 5 starsGot delivered in 2days,5.0,Just Amazing 👌🏻,Reviewed in India on 15 June 2025
4.0 out of 5 starsBattery is not satisfactory,4.0,Cycle count reached 53 within a month.even though I did not use up 100% of battery.,Reviewed in India on 28 April 2025
4.0 out of 5 starsEverything  is rught,4.0,The item is ok .Iwas confused to see the packing.its fine now,Reviewed in India on 30 April 2025
5.0 out of 5 starsBest,5.0,Very easy to use,Reviewed in India on 12 June 2025
5.0 out of 5 starsTotally obsessed😳✨,5.0,"The best phone, I think the budget and overall this is the smartest gorgeous. I have ever the size in the weight. It’s all fabulous. Just go for it and if you can afford, just go for the bigger storage that would be nice for you🫡✨",Reviewed in India on 6 June 2025
5.0 out of 5 starsGood product,5.0,Good product and delivered safely..,Reviewed in India on 8 June 2025
5.0 out of 5 starsGreat,5.0,"Got the right product , new",Reviewed in India on 7 June 2025
5.0 out of 5 starsBest phone to consider,5.0,A good phone in every aspect. After six month of use I don't find any issue.,Reviewed in India on 5 June 2025
5.0 out of 5 starsNicely received,5.0,Brand new item with elegant packaging,Reviewed in India on 6 June 2025
4.0 out of 5 starsNothing,4.0,Nothing to write much about Apple. Only thing to check is the originality.,Reviewed in India on 24 April 2025
5.0 out of 5 starsNice phone,5.0,Great phone with great camera,Reviewed in India on 16 June 2025
5.0 out of 5 starsGood,5.0,Good,Reviewed in India on 7 June 2025
4.0 out of 5 starsGood product,4.0,Good productGet it in AN amazing price,Reviewed in India on 26 April 2025
5.0 out of 5 starsOk,5.0,Ok,Reviewed in India on 9 June 2025
5.0 out of 5 starsIPhone 15 Value for money,5.0,Value for money,Reviewed in India on 8 June 2025
3.0 out of 5 starsOverheating,3.0,Overheating problem even in normal use,Reviewed in India on 27 June 2025
5.0 out of 5 starsExcellent.,5.0,Good.Do i really need to write a review about this phone.Its great.,Reviewed in India on 23 June 2025
5.0 out of 5 starsDesign and camera loved,5.0,Nice phone,Reviewed in India on 4 June 2025
4.0 out of 5 starsvolume  button issue,4.0,volume  button having problem.when we used first time while increasing volume it remains in pressed condition and not functioning.It seems to have defect from day one.We request to provide alternate fresh piece or get  it fixed  under  warranty without any additional cost.This is my second Iphone handset  purchased via  amazon platform.Kindly look into it  on top priroity,Reviewed in India on 16 March 2025
5.0 out of 5 starsBest one,5.0,Economy I phone,Reviewed in India on 5 June 2025
5.0 out of 5 starsGood,5.0,,Reviewed in India on 7 June 2025
4.0 out of 5 starsIt is good,4.0,Usually iphones are not so productive.. same thing here but Ok!,Reviewed in India on 12 April 2025
4.0 out of 5 starsValue for money.,4.0,Too much heat generated during vidoe recording.,Reviewed in India on 17 April 2025
5.0 out of 5 starsA,5.0,Excellent performance quality,Reviewed in India on 28 May 2025
5.0 out of 5 starsExcellent,5.0,Superb performanceScreen size little small compared to XRCharging ability as per now okay,Reviewed in India on 28 May 2025
5.0 out of 5 starsReview of new I phone,5.0,The iPhone is functioning nice  and good quality,Reviewed in India on 26 May 2025
5.0 out of 5 starsiPhone 16,5.0,Ok,Reviewed in India on 5 June 2025
5.0 out of 5 starsAmazing,5.0,The iphone was in fab condition. I loved it! It's a solid 10/10,Reviewed in India on 20 May 2025
5.0 out of 5 starsBest model,5.0,Good,Reviewed in India on 26 May 2025
"5.0 out of 5 starsFast & secured delivery, good packaging, price is ok ok",5.0,"1. Fast & secure delivery (OTP based)2. Proper packaging3. Product accuracy4. Reasonable priceRegarding Looks, Display, Functionality, Charging, Touch quality - It's an iPhone ✅",Reviewed in India on 9 May 2025
5.0 out of 5 starsValue for money,5.0,Nice phone,Reviewed in India on 25 May 2025
4.0 out of 5 starsGood quality,4.0,i Phone Is Iphone,Reviewed in India on 12 April 2025
5.0 out of 5 stars👌,5.0,everything is good except battery life,Reviewed in India on 24 May 2025
5.0 out of 5 starsBest and Genuine Product,5.0,"Genuine, Original and damage free product. Thanks to the entire team and sailor too.Keep up the good work.",Reviewed in India on 15 May 2025
5.0 out of 5 starsBest Decision,5.0,This is my first iphone and switch from android to ios was really a good decision.,Reviewed in India on 14 May 2025
5.0 out of 5 starsJast very good,5.0,Very nice,Reviewed in India on 25 May 2025
5.0 out of 5 starsGood,5.0,Good,Reviewed in India on 22 May 2025
5.0 out of 5 starsVery good,5.0,Good,Reviewed in India on 24 May 2025
5.0 out of 5 starsGood,5.0,Good,Reviewed in India on 24 May 2025
5.0 out of 5 starsGreat,5.0,Good,Reviewed in India on 24 May 2025
5.0 out of 5 starsGreat product,5.0,Amazing buy for me,Reviewed in India on 19 May 2025
5.0 out of 5 starsGood performance,5.0,Performance is quite satisfactory,Reviewed in India on 20 May 2025
5.0 out of 5 starsHighly recommended,5.0,"The media could not be loaded.THE BEST PURCHASE EVER!!JUST CLOSE YOUR EYES AND GO FOR IT,THIS IS MY VERY FIRST IPHONE AND IM OBSESSED 😍😍😍💘💘",Reviewed in India on 8 June 2025
5.0 out of 5 starsNice product at best price,5.0,Nice product at best price,Reviewed in India on 15 May 2025
"5.0 out of 5 starsPhone is good, delivery partner is pathetic.",5.0,"I bought the pink phone it is just awesome.The colour is mesmerizing, believe me...Its so much attractive like even boys can have tht pink iph.But the delivery partner who fulfill this order is such a pathetic one, the packaging is like its a 200-300 rupee product, not caring about the product and the coustomer satisfaction.",Reviewed in India on 6 May 2025
5.0 out of 5 starsGood to go,5.0,"Apart from minor Heating issue, its a catch !",Reviewed in India on 14 May 2025
5.0 out of 5 starsGood,5.0,Good,Reviewed in India on 16 May 2025
5.0 out of 5 starsReview,5.0,Very very gd product...,Reviewed in India on 14 May 2025
5.0 out of 5 starsGood,5.0,Good,Reviewed in India on 16 May 2025
3.0 out of 5 starsNot Good Not Bad,3.0,Not Good Not Bad Just Ok Ok !,Reviewed in India on 31 May 2025
5.0 out of 5 starsSecy,5.0,Secy,Reviewed in India on 15 May 2025
5.0 out of 5 starsNice,5.0,Awesome nice pH,Reviewed in India on 14 May 2025
5.0 out of 5 starsAmaze,5.0,🤞🏻💀💀,Reviewed in India on 16 May 2025
4.0 out of 5 starsNice product,4.0,Nice product,Reviewed in India on 31 March 2025
5.0 out of 5 starsGood,5.0,Good,Reviewed in India on 16 May 2025
3.0 out of 5 starsHeating Issue,3.0,Heating and battery is not as expected,Reviewed in India on 28 May 2025
5.0 out of 5 starsiPhone 15 – Almost perfect… except for the battery’s social life,5.0,"Got my iPhone 15 from Amazon, and honestly, 10/10 on the unboxing vibes. Packing was neat, no dents, no drama. Delivery guy showed up right on time like he had a GPS tracker on my excitement.The phone? 100% original – not one of those “iPhoney” deals. It runs super smooth, apps load faster than my brain in the morning, and the camera? Oh man, it makes my average face look Hollywood-ready. Portrait mode is basically magic.Now for the tiny hiccup – the battery. Let’s just say it gets tired quickly. You blink, and it’s already asking for a nap. But hey, with great power comes… slightly faster charging breaks.Overall, loving it. Just keep a charger nearby and you’re golden.",Reviewed in India on 20 April 2025
5.0 out of 5 starsGood,5.0,It was good.. sturdy,Reviewed in India on 8 May 2025
5.0 out of 5 starsGood to go,5.0,"Apart from minor Heating issue, its a catch !",Reviewed in India on 14 May 2025
5.0 out of 5 starsNice,5.0,Nice,Reviewed in India on 3 May 2025
5.0 out of 5 starsSwitching from Android to iOS.,5.0,"Very nice phone, and I am switching to ios from Android. Firstly I am very surprised and puzzled while using iPhone for the first time but now after using 2 days I can say that, ios is much better than android. I am very happy with my first iphone.",Reviewed in India on 2 May 2025
5.0 out of 5 stars📸 is so impressive,5.0,Perfect,Reviewed in India on 5 May 2025
5.0 out of 5 starsGood,5.0,Good,Reviewed in India on 16 May 2025
5.0 out of 5 starsHmm..,5.0,Same as shown but features was not so good as I expected but all over is good👍,Reviewed in India on 21 April 2025
5.0 out of 5 starsSecy,5.0,Secy,Reviewed in India on 15 May 2025
5.0 out of 5 starsBest phone,5.0,Best phone,Reviewed in India on 28 April 2025
5.0 out of 5 starsAmaze,5.0,🤞🏻💀💀,Reviewed in India on 16 May 2025
